300000017,123,123,123,0,123,,2024-12-03T22:56:39.448858
300000019,qwe,qwe,213,0,233,,2024-12-03T23:17:05.395872500
300000020,qwe,qwe,123,0,123,,2024-12-03T23:25:54.278370200
300000021,qwe,qwe,123,0,213,,2024-12-03T23:29:54.110689500
300000022,qwe,qwe,123,0,123,,2024-12-03T23:31:12.820789400
300000023,qwe,qwe,123,0,213,,2024-12-03T23:33:18.256379600
300000024,qwe,qwe,123,0,123,,2024-12-03T23:34:51.803657
300000025,123,123,213,0,123,,2024-12-03T23:37:36.216659600
300000026,qwe,qwe,123,0,123,,2024-12-03T23:43:13.770692300
300000028,qwe,eqqwe,123,0,213,,2024-12-03T23:45:49.908666600
300000030,qwe,qwe,213,0,123,,2024-12-03T23:46:20.461029100
300000031,qwe,qwe,123,0,123,N/A,2024-12-03T23:48:25.155229400
